Alloy Formula,Rm,Rmd,Vmm,Eea,Eead,XM,XMd,XP,XPd,Hf,Hfd,I1,I1d,I2,I2d,Tm,Tmd,Cp,Cpd,K,Kd,VEC,VECd,Hmix,Smix,Dmax
Ce70Al10Cu19Zn1,0.799677238,0.534782505,0.727154525,0.439266419,0.003340448,0.114400904,0.733067112,0.203807004,0.75389979,0.003835178,0.234017726,0.043676941,0.720769197,0.062699298,0.276387938,0.099787928,0.185486293,0.482633579,0.10360027,0.215233172,0.849150772,0.3032,0.578105477,0.633742084,0.239504111,1
Ce70Al15Ni15,0.802172669,0.532069273,0.729976737,0.422608976,0.00238937,0.075368497,0.60084802,0.194692278,0.720664807,0.024165373,0.312625906,0,0.587921053,0.022018936,0.239949362,0.128057001,0.423849407,0.501852754,0.076868327,0.026590621,0.832674752,0.228533333,0.483065297,0.486862194,0.221326318,1
Ce70Al10Ni20,0.788757928,0.594496261,0.719304081,0.440533672,0.002520088,0.104257614,0.674587937,0.207713315,0.771326678,0.035346847,0.331743763,0.030983728,0.655591937,0.018374194,0.23666465,0.155457925,0.457871516,0.509911019,0.059343194,0,0.827252919,0.2752,0.505420135,0.521071381,0.207728952,1
Ce60Al10Cu20Ni10,0.714471996,0.695819516,0.637545987,0.477412706,0.002963712,0.177443377,0.784033294,0.274554637,0.805701249,0.045959203,0.278515369,0.116142147,0.745010684,0.145717034,0.270004088,0.149888643,0.356589369,0.47431676,0.101804104,0.25441935,0.765024443,0.3952,0.538379257,0.55316889,0.437486071,1
Ca55Mg25Zn20,0.927449041,0.539263795,0.906105994,0.004950206,0.011659477,0.275666376,0.895488683,0.103979055,0.642841928,0.035510886,0.005475394,0.461290384,0.871073315,0.100807169,0.147167101,0.014759759,0.303928641,0.429259428,0.012129135,0.444861267,0.070440131,0.221866667,0.928737667,0.823041366,0.364153952,1
Ca60Mg25Zn15,0.969352077,0.476654818,0.959367414,0.020419599,0.01327151,0.229443788,0.850411257,0.075766809,0.607816198,0.037549664,0.000839237,0.399828709,0.826727529,0.067169114,0.139552881,0.029326715,0.266047516,0.431582104,0.012771001,0.460128609,0.06003039,0.1552,0.952257683,0.858095224,0.316427196,1
Ca55Mg11Zn11Cu23,0.847032717,0.842297492,0.833947041,0.200126923,0.031283385,0.286066458,0.871751322,0.19521312,0.945850523,0.071966506,0.097487805,0.409243716,0.758510579,0.205196713,0.214890014,0.097998945,0.319304911,0.416714391,0.036513328,0.6627844,0.2082604,0.377866667,0.760998922,0.823674869,0.488335492,1
Ca70Mg10Cu20,0.974833369,0.684881414,0.994781728,0.218279328,0.022000365,0.159467927,0.720664739,0.107017297,0.95988692,0.07178372,0.083769281,0.2501552,0.514140486,0.099805867,0.214992829,0.126350909,0.148835738,0.426587704,0.035717252,0.676052447,0.170858983,0.1952,0.867468024,0.919756228,0.207728952,1
Ca60Mg13Cu27,0.888127983,0.817843,0.887780358,0.253930711,0.018636987,0.220584459,0.754907352,0.169778694,0.992005794,0.082768345,0.091990962,0.309687417,0.539197799,0.17537162,0.224118312,0.134090666,0.183010369,0.414864007,0.042293981,0.722399735,0.185203022,0.2792,0.814594498,0.887717846,0.306508918,1
Au46Ag5Cu29Si20,0.308264981,0.178240115,0.188179278,0.980155615,0.001754299,0.966822454,0.486405475,0.961978573,0.384376691,0.431636338,0.446298516,0.963792498,0.368093099,0.739588058,0.055480279,0.308150874,0.136820058,0.295585321,0.253077459,0.957262347,0.131674882,0.968533333,0.104150392,0.660306996,0.516686602,1
Ca60Mg15Cu25,0.897446179,0.786644613,0.896370618,0.237733637,0.020792657,0.2159622,0.742999428,0.159535479,0.972329551,0.080025871,0.089646579,0.309087973,0.537871,0.163763373,0.219425668,0.128096309,0.186721791,0.415603471,0.041014809,0.704587836,0.185568682,0.2552,0.832078276,0.894204921,0.316427196,1
