Alloys,Phase(s),ML-A,ML-B,ML-C,Ref
Al0.8CoCrNiSi0.2,BCC+B2+σ,MP,IM,,1
Al0.44CoCrFeNi,BCC+FCC+B2,MP,IM,,1
Al0.43CoCr0.29NiSi0.14,FCC+L12+L10,MP,IM,,1
CoCrCuFeMnNi,FCC,SP,SS,FCC,2
CoCrFeMnNbNi,FCC,SP,SS,FCC,2
CoCrFeGeMnNi,BCC+FCC,MP,SS,MSS,2
CoCrFeMnNiTi,BCC+FCC,MP,SS,MSS,2
Al0.8CrCuFeMn1.5Ni,2BCC,MP,SS,BCC,3
AlCrCuFeMnNi,2BCC,MP,SS,BCC,3
Al0.5CrCuFeMnNi,2BCC+FCC,MP,SS,MSS,3
Al0.8CrCuFe1.5MnNi,2BCC+FCC,MP,SS,MSS,3
Al0.8CrCuFeMnNi,2BCC+FCC,MP,SS,MSS,3
Al0.3CrCuFeMnNi,BCC+2FCC,MP,SS,MSS,3
Al0.8CrCu1.5FeMnNi,BCC+FCC,MP,SS,MSS,3
AlCrMoNbTi,BCC,SP,SS,BCC,4
AlCr0.5CuFeNiTi,BCC+FCC,MP,SS,MSS,5
AlCr1.5CuFeNiTi,BCC+FCC,MP,SS,MSS,5
AlCr2CuFeNiTi,BCC+FCC,MP,SS,MSS,5
AlCr3CuFeNiTi,BCC+FCC,MP,SS,MSS,5
Al0.5CoCrCuFeNiV0.2,2FCC,MP,SS,FCC,6
Al0.5CoCrCuFeNiV0.4,BCC+FCC,MP,SS,MSS,6
Al0.5CoCrCuFeNiV1.2,BCC+FCC,MP,SS,MSS,6
Al0.5CoCrCuFeNiV1.4,BCC+FCC,MP,SS,MSS,6
Al0.5CoCrCuFeNiV1.6,BCC+FCC,MP,SS,MSS,6
Al0.5CoCrCuFeNiV1.8,BCC+FCC,MP,SS,MSS,6
Al0.5CoCrCuFeNiV2.0,BCC+FCC,MP,SS,MSS,6
Al0.5CoCrCuFeNiV0.6,BCC+FCC+σ,MP,IM,,6
Al0.5CoCrCuFeNiV0.8,BCC+FCC+σ,MP,IM,,6
Al0.5CoCrCuFeNiV1.0,BCC+FCC+σ,MP,IM,,6
Al0.5CoCrCuFeNiTi0.2,FCC,SP,SS,FCC,7
Al0.5CoCrCuFeNiTi0.4,2BCC+FCC,MP,SS,MSS,7
Al0.5CoCrCuFeNiTi0.6,2BCC+FCC,MP,SS,MSS,7
Al0.5CoCrCuFeNiTi1.2,2BCC+FCC+NiTi2+σ,MP,IM,,7
Al0.5CoCrCuFeNiTi0.8,2BCC+FCC+σ,MP,IM,,7
Al0.5CoCrCuFeNiTi1.0,2BCC+FCC+σ,MP,IM,,7
Al0.5CoCrCuFeNiTi1.4,BCC+FCC+B2+NiTi2,MP,IM,,7
Al0.5CoCrCuFeNiTi1.6,BCC+FCC+B2+NiTi2,MP,IM,,7
Al0.5CoCrCuFeNiTi1.8,BCC+FCC+B2+NiTi2,MP,IM,,7
Al0.5CoCrCuFeNiTi2.0,BCC+FCC+B2+NiTi2,MP,IM,,7
Al0.25MoNbTiV,BCC,SP,SS,BCC,8
Al0.50MoNbTiV,BCC,SP,SS,BCC,8
Al0.75MoNbTiV,BCC,SP,SS,BCC,8
AlMoNbTiV,BCC,SP,SS,BCC,8
MoNbTiV,BCC,SP,SS,BCC,8
Al1.50MoNbTiV,BCC+IM,MP,IM,,8
Al2.08CoCrFeNi,BCC+B2,MP,IM,,9
Co1.5CrFeMo0.1Ni1.5Ti0.5,FCC,SP,SS,FCC,10
Co1.5CrFeNi1.5Ti0.5,FCC,SP,SS,FCC,10
Co1.5CrFeMo0.5Ni1.5Ti0.5,FCC+σ,MP,IM,,10
Co1.5CrFeMo0.8Ni1.5Ti0.5,FCC+σ,MP,IM,,10
CoCrCu1.5FeNi,2FCC,MP,SS,FCC,11
CoCrFeNiSn,FCC+Orthorhombic,MP,IM,,11
CoCrFeNiPd0.8,FCC+IM,MP,IM,,11
CoCrFeNiPd1.2,FCC+IM,MP,IM,,11
Co0.25Cr0.25FeMn,FCC,SP,SS,FCC,12
AlCrFeMoNi,B2+σ,MP,IM,,13
AlCrFeMo0.8Ni,B2+σ,MP,IM,,13
AlCrFeMo0.2Ni,BCC+B2,MP,IM,,13
AlCrFeMo0.5Ni,BCC+B2,MP,IM,,13
AlCrFeNi,BCC+B2,MP,IM,,13
Al0.15CrFe1.5Ni0.5,BCC+B2,MP,IM,,14
Al0.2CrFe1.5Ni0.5,BCC+B2,MP,IM,,14
Al0.3CrFe1.5Ni0.5,B2,SP,IM,,14
Al0.4CrFe1.5Ni0.5,B2,SP,IM,,14
CrHfNbTiZr,BCC+2Laves,MP,IM,,15
HfNbTiVZr,BCC+IM,MP,IM,,15
Al1.125CuFe0.75NiTi1.125,2FCC,MP,SS,FCC,16
AlCuFeNiTi,2FCC,MP,SS,FCC,16
AlCuNiTi,FCC,SP,SS,FCC,16
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,BCC,SP,SS,BCC,17
HfNbTaTiVZr,BCC,SP,SS,BCC,18
Hf0.5Mo0.5NbTiZr,BCC,SP,SS,BCC,19
C0.1Hf0.5Mo0.5NbTiZr,BCC+MC-Carbide,MP,IM,,19
C0.3Hf0.5Mo0.5NbTiZr,BCC+MC-Carbide,MP,IM,,19
Hf0.5Mo0.5NbSi0.1TiZr,BCC+IM,MP,IM,,20
Hf0.5Mo0.5NbSi0.3TiZr,BCC+IM,MP,IM,,20
Hf0.5Mo0.5NbSi0.5TiZr,BCC+IM,MP,IM,,20
Hf0.5Mo0.5NbSi0.7TiZr,BCC+IM,MP,IM,,20
Hf0.5Mo0.5NbSi0.9TiZr,BCC+IM,MP,IM,,20
HfMoNbTiZr,BCC,SP,SS,BCC,21
Al0.2CrCuFeNi2,FCC,SP,SS,FCC,22
Al0.3CrCuFeNi2,FCC,SP,SS,FCC,22
Al0.4CrCuFeNi2,FCC,SP,SS,FCC,22
Al0.5CrCuFeNi2,FCC,SP,SS,FCC,22
Al0.6CrCuFeNi2,FCC,SP,SS,FCC,22
Al0.7CrCuFeNi2,FCC,SP,SS,FCC,22
Al1.6CrCuFeNi2,BCC+B2,MP,IM,,22
Al1.8CrCuFeNi2,BCC+B2,MP,IM,,22
Al2.0CrCuFeNi2,BCC+B2,MP,IM,,22
Al2.2CrCuFeNi2,BCC+B2,MP,IM,,22
Al2.5CrCuFeNi2,BCC+B2,MP,IM,,22
Al0.9CrCuFeNi2,BCC+FCC+B2,MP,IM,,22
Al1.5CrCuFeNi2,BCC+FCC+B2,MP,IM,,22
MoNbTaTiVW,BCC,SP,SS,BCC,23
MoNbTaTiW,BCC,SP,SS,BCC,23
MoNbTaTi0.25W,BCC,SP,SS,BCC,24
MoNbTaTi0.50W,BCC,SP,SS,BCC,24
MoNbTaTi0.75W,BCC,SP,SS,BCC,24
Al2(CoCrFeMnNi)98,FCC,SP,SS,FCC,25
Al3(CoCrFeMnNi)97,FCC,SP,SS,FCC,25
Al4(CoCrFeMnNi)96,FCC,SP,SS,FCC,25
Al7(CoCrFeMnNi)93,FCC,SP,SS,FCC,25
Al8(CoCrFeMnNi)92,BCC+FCC,MP,SS,MSS,25
Al20(CoCrFeMnNi)80,BCC+B2,MP,IM,,25
Al9(CoCrFeMnNi)91,BCC+FCC+B2,MP,IM,,25
Al10(CoCrFeMnNi)90,BCC+FCC+B2,MP,IM,,25
Al11(CoCrFeMnNi)89,BCC+FCC+B2,MP,IM,,25
Al12(CoCrFeMnNi)88,BCC+FCC+B2,MP,IM,,25
Al13(CoCrFeMnNi)87,BCC+FCC+B2,MP,IM,,25
Al14(CoCrFeMnNi)86,BCC+FCC+B2,MP,IM,,25
Al15(CoCrFeMnNi)85,BCC+FCC+B2,MP,IM,,25
Al16(CoCrFeMnNi)84,BCC+FCC+B2,MP,IM,,25
