AN,XPd,Cmd,K,VEC,Hmix,HV
0.165127935,0.230443671,0.131949735,0.326256055,0.788235294,0.715442887,110
0.177403478,0.213501769,0.133799246,0.302622669,0.824390244,0.752854274,117
0.206278027,0.004998215,0.049023099,0.281882353,1,0.83406356,124
0.15368936,0.244389319,0.130116424,0.348278075,0.754545455,0.683302671,128
0.186098655,0.200093605,0.135037641,0.285882353,0.85,0.781182716,129.8
0.15554132,0.24224303,0.130420595,0.344712605,0.76,0.688328271,130.8
0.200896861,0.184151011,0.118456644,0.577505882,0.96,0.933260728,133
0.192825112,0.193675509,0.077156305,0.650941176,0.9,1,134
0.177302518,0.136497474,0.060671222,0.334986425,0.907692308,0.73065405,136
0.161226405,0.23538855,0.131336524,0.333767442,0.776744186,0.704185423,137.5
0.179372197,0.338627253,0.148184331,0.207454118,0.8,0.772211207,144
0.179372197,0.003404363,0.247648688,0.302769231,0.923076923,0.604283832,148
0.175528508,0.339389269,0.143672847,0.197642577,0.771428571,0.747330541,151
0.191790273,0.219867596,0.143525276,0.584271493,0.953846154,0.865828751,161
0.171422748,0.267825527,0.130556796,0.33768984,0.768181818,0.704325406,162
0.160153748,0.198533065,0.053375419,0.602420168,0.885714286,0.754277121,166.4
0.184956426,0.230776466,0.142825602,0.591591565,0.932075472,0.845166713,168
0.165381166,0.342052782,0.147453979,0.238045365,0.76,0.724899059,171
0.194319881,0.192286709,0.126200592,0.447895425,0.911111111,0.874044989,173.5
0.179879854,0.220632929,0.115584424,0.599849056,0.894339623,0.866666738,179
0.172376682,0.340447389,0.147851376,0.222749741,0.78,0.74802437,180
0.167483575,0.229097945,0.073126302,0.673357045,0.823255814,0.923357737,180
0.216777863,0.234136157,0.133298359,0.282020086,0.834146341,0.746085387,180
0.154887892,0.344058435,0.146735589,0.2609888,0.73,0.692201455,182
0.151390135,0.344619552,0.146463139,0.268636612,0.72,0.681833017,183
0.172034244,0.339257724,0.139450825,0.188722995,0.745454545,0.727246968,186
0.209968886,0.316602934,0.086336105,0.494731376,0.994035785,0.902019506,192
0.159192825,0.254466139,0.129355087,0.325272727,0.759090909,0.667931209,199
0.178375685,0.240576446,0.142109719,0.598640523,0.911111111,0.826019248,199
0.146487295,0.252348794,0.128906043,0.362143791,0.733333333,0.664412628,200.7
0.164739202,0.250423488,0.110849964,0.59191744,0.831578947,0.808551714,204
0.212405097,0.316596969,0.087567918,0.493446709,0.99009901,0.902193436,205
0.152466368,0.24609472,0.070634757,0.686640523,0.777777778,0.882689623,207
0.206278027,0.316597782,0.084422339,0.496677647,1,0.90175104,208
0.152466368,0.19874555,0.068114395,0.380504202,0.828571429,0.656032627,208
0.164424514,0.273886866,0.127513301,0.697620915,0.866666667,0.798404447,208
0.167142275,0.239041824,0.113704445,0.613390374,0.854545455,0.829964503,214.5
0.216023445,0.316574385,0.089353036,0.491538675,0.984251969,0.902446957,219
